Thread, Chamada, T(k), Jitter(k)
Simulacao, 152, 0.010395, 0.000395
Simulacao, 153, 0.010232, 0.000232
Simulacao, 154, 0.010213, 0.000213
Simulacao, 155, 0.010160, 0.000160
Simulacao, 156, 0.010473, 0.000473
Simulacao, 157, 0.010426, 0.000426
Simulacao, 158, 0.010356, 0.000356
Simulacao, 159, 0.010230, 0.000230
Simulacao, 160, 0.010488, 0.000488
Simulacao, 161, 0.010474, 0.000474
Simulacao, 162, 0.010230, 0.000230
Simulacao, 163, 0.010464, 0.000464
Simulacao, 164, 0.010473, 0.000473
Simulacao, 165, 0.010522, 0.000522
Simulacao, 166, 0.010287, 0.000287
Simulacao, 167, 0.010515, 0.000515
Simulacao, 168, 0.010185, 0.000185
Simulacao, 169, 0.010417, 0.000417
Simulacao, 170, 0.010187, 0.000187
Simulacao, 171, 0.010186, 0.000186
Simulacao, 172, 0.010236, 0.000236
Simulacao, 173, 0.010158, 0.000158
Simulacao, 174, 0.010398, 0.000398
Simulacao, 175, 0.010145, 0.000145
Simulacao, 176, 0.010105, 0.000105
Simulacao, 177, 0.010141, 0.000141
Simulacao, 178, 0.010135, 0.000135
Simulacao, 179, 0.010350, 0.000350
Simulacao, 180, 0.010161, 0.000161
Simulacao, 181, 0.010410, 0.000410
Simulacao, 182, 0.010366, 0.000366
Simulacao, 183, 0.010379, 0.000379
Simulacao, 184, 0.010452, 0.000452
Simulacao, 185, 0.010479, 0.000479
Simulacao, 186, 0.010422, 0.000422
Simulacao, 187, 0.010267, 0.000267
Simulacao, 188, 0.010479, 0.000479
Simulacao, 189, 0.010407, 0.000407
Simulacao, 190, 0.010418, 0.000418
Simulacao, 191, 0.010225, 0.000225
Simulacao, 192, 0.010295, 0.000295
Simulacao, 193, 0.010555, 0.000555
Simulacao, 194, 0.010265, 0.000265
Simulacao, 195, 0.010401, 0.000401
Simulacao, 196, 0.010580, 0.000580
Simulacao, 197, 0.010170, 0.000170
Simulacao, 198, 0.010387, 0.000387
Simulacao, 199, 0.010353, 0.000353
Simulacao, 200, 0.010274, 0.000274
Simulacao, 201, 0.010185, 0.000185
Simulacao, 202, 0.010385, 0.000385
Simulacao, 203, 0.010352, 0.000352
Simulacao, 204, 0.010386, 0.000386
Simulacao, 205, 0.010255, 0.000255
Simulacao, 206, 0.010127, 0.000127
Simulacao, 207, 0.010204, 0.000204
Simulacao, 208, 0.010162, 0.000162
Simulacao, 209, 0.010186, 0.000186
Simulacao, 210, 0.010390, 0.000390
Simulacao, 211, 0.010461, 0.000461
Simulacao, 212, 0.010455, 0.000455
Simulacao, 213, 0.010217, 0.000217
Simulacao, 214, 0.010345, 0.000345
Simulacao, 215, 0.010474, 0.000474
Simulacao, 216, 0.010464, 0.000464
Simulacao, 217, 0.010168, 0.000168
Simulacao, 218, 0.010207, 0.000207
Simulacao, 219, 0.010333, 0.000333
Simulacao, 220, 0.010341, 0.000341
Simulacao, 221, 0.010352, 0.000352
Simulacao, 222, 0.010416, 0.000416
Simulacao, 223, 0.010480, 0.000480
Simulacao, 224, 0.010483, 0.000483
Simulacao, 225, 0.010207, 0.000207
Simulacao, 226, 0.010186, 0.000186
Simulacao, 227, 0.010463, 0.000463
Simulacao, 228, 0.010461, 0.000461
Simulacao, 229, 0.010483, 0.000483
Simulacao, 230, 0.010352, 0.000352
Simulacao, 231, 0.010393, 0.000393
Simulacao, 232, 0.010236, 0.000236
Simulacao, 233, 0.010363, 0.000363
Simulacao, 234, 0.010367, 0.000367
Simulacao, 235, 0.010350, 0.000350
Simulacao, 236, 0.010203, 0.000203
Simulacao, 237, 0.010434, 0.000434
Simulacao, 238, 0.010416, 0.000416
Simulacao, 239, 0.010218, 0.000218
Simulacao, 240, 0.010605, 0.000605
Simulacao, 241, 0.010541, 0.000541
Simulacao, 242, 0.010525, 0.000525
Simulacao, 243, 0.010364, 0.000364
Simulacao, 244, 0.010545, 0.000545
Simulacao, 245, 0.010487, 0.000487
Simulacao, 246, 0.010386, 0.000386
Simulacao, 247, 0.010304, 0.000304
Simulacao, 248, 0.010475, 0.000475
Simulacao, 249, 0.010229, 0.000229
Simulacao, 250, 0.010494, 0.000494
Simulacao, 251, 0.010110, 0.000110
Simulacao, 252, 0.010211, 0.000211
Simulacao, 253, 0.010488, 0.000488
Simulacao, 254, 0.010490, 0.000490
Simulacao, 255, 0.010471, 0.000471
Simulacao, 256, 0.010506, 0.000506
Simulacao, 257, 0.010201, 0.000201
Simulacao, 258, 0.010168, 0.000168
Simulacao, 259, 0.010210, 0.000210
Simulacao, 260, 0.010203, 0.000203
Simulacao, 261, 0.010190, 0.000190
Simulacao, 262, 0.010420, 0.000420
Simulacao, 263, 0.010417, 0.000417
Simulacao, 264, 0.010408, 0.000408
Simulacao, 265, 0.010473, 0.000473
Simulacao, 266, 0.010444, 0.000444
Simulacao, 267, 0.010375, 0.000375
Simulacao, 268, 0.010384, 0.000384
Simulacao, 269, 0.010388, 0.000388
Simulacao, 270, 0.010319, 0.000319
Simulacao, 271, 0.010274, 0.000274
Simulacao, 272, 0.010385, 0.000385
Simulacao, 273, 0.010224, 0.000224
Simulacao, 274, 0.010369, 0.000369
Simulacao, 275, 0.010164, 0.000164
Simulacao, 276, 0.010431, 0.000431
Simulacao, 277, 0.010391, 0.000391
Simulacao, 278, 0.010396, 0.000396
Simulacao, 279, 0.010470, 0.000470
Simulacao, 280, 0.010463, 0.000463
Simulacao, 281, 0.010305, 0.000305
Simulacao, 282, 0.010458, 0.000458
Simulacao, 283, 0.010494, 0.000494
Simulacao, 284, 0.010218, 0.000218
Simulacao, 285, 0.010397, 0.000397
Simulacao, 286, 0.010235, 0.000235
Simulacao, 287, 0.010243, 0.000243
Simulacao, 288, 0.010215, 0.000215
Simulacao, 289, 0.010433, 0.000433
Simulacao, 290, 0.010322, 0.000322
Simulacao, 291, 0.010381, 0.000381
Simulacao, 292, 0.010469, 0.000469
Simulacao, 293, 0.010435, 0.000435
Simulacao, 294, 0.010386, 0.000386
Simulacao, 295, 0.010389, 0.000389
Simulacao, 296, 0.010457, 0.000457
Simulacao, 297, 0.010499, 0.000499
Simulacao, 298, 0.010170, 0.000170
Simulacao, 299, 0.010449, 0.000449
Simulacao, 300, 0.010142, 0.000142
Simulacao, 301, 0.010463, 0.000463
Simulacao, 302, 0.010309, 0.000309
Simulacao, 303, 0.010386, 0.000386
Simulacao, 304, 0.010483, 0.000483
Simulacao, 305, 0.010459, 0.000459
Simulacao, 306, 0.010480, 0.000480
Simulacao, 307, 0.010408, 0.000408
Simulacao, 308, 0.010181, 0.000181
Simulacao, 309, 0.010495, 0.000495
Simulacao, 310, 0.010432, 0.000432
Simulacao, 311, 0.010395, 0.000395
Simulacao, 312, 0.010395, 0.000395
Simulacao, 313, 0.010181, 0.000181
Simulacao, 314, 0.010172, 0.000172
Simulacao, 315, 0.010223, 0.000223
Simulacao, 316, 0.010475, 0.000475
Simulacao, 317, 0.010387, 0.000387
Simulacao, 318, 0.010395, 0.000395
Simulacao, 319, 0.010432, 0.000432
Simulacao, 320, 0.010467, 0.000467
Simulacao, 321, 0.010447, 0.000447
Simulacao, 322, 0.010389, 0.000389
Simulacao, 323, 0.010467, 0.000467
Simulacao, 324, 0.010490, 0.000490
Simulacao, 325, 0.010216, 0.000216
Simulacao, 326, 0.010392, 0.000392
Simulacao, 327, 0.010244, 0.000244
Simulacao, 328, 0.010464, 0.000464
Simulacao, 329, 0.010524, 0.000524
Simulacao, 330, 0.010401, 0.000401
Simulacao, 331, 0.010412, 0.000412
Simulacao, 332, 0.010470, 0.000470
Simulacao, 333, 0.010474, 0.000474
Simulacao, 334, 0.010251, 0.000251
Simulacao, 335, 0.010458, 0.000458
Simulacao, 336, 0.010481, 0.000481
Simulacao, 337, 0.010476, 0.000476
Simulacao, 338, 0.010224, 0.000224
Simulacao, 339, 0.010198, 0.000198
Simulacao, 340, 0.010202, 0.000202
Simulacao, 341, 0.010418, 0.000418
Simulacao, 342, 0.010419, 0.000419
Simulacao, 343, 0.010433, 0.000433
Simulacao, 344, 0.010368, 0.000368
Simulacao, 345, 0.010486, 0.000486
Simulacao, 346, 0.010384, 0.000384
Simulacao, 347, 0.010412, 0.000412
Simulacao, 348, 0.010471, 0.000471
Simulacao, 349, 0.010478, 0.000478
Simulacao, 350, 0.010179, 0.000179
Simulacao, 351, 0.010450, 0.000450
Simulacao, 352, 0.010385, 0.000385
Simulacao, 353, 0.010406, 0.000406
Simulacao, 354, 0.010510, 0.000510
Simulacao, 355, 0.010479, 0.000479
Simulacao, 356, 0.010382, 0.000382
Simulacao, 357, 0.010419, 0.000419
Simulacao, 358, 0.010473, 0.000473
Simulacao, 359, 0.010462, 0.000462
Simulacao, 360, 0.010346, 0.000346
Simulacao, 361, 0.010153, 0.000153
Simulacao, 362, 0.010203, 0.000203
Simulacao, 363, 0.010304, 0.000304
Simulacao, 364, 0.010439, 0.000439
Simulacao, 365, 0.010160, 0.000160
Simulacao, 366, 0.010229, 0.000229
Simulacao, 367, 0.010457, 0.000457
Simulacao, 368, 0.010412, 0.000412
Simulacao, 369, 0.010240, 0.000240
Simulacao, 370, 0.010156, 0.000156
Simulacao, 371, 0.010154, 0.000154
Simulacao, 372, 0.010506, 0.000506
Simulacao, 373, 0.010458, 0.000458
Simulacao, 374, 0.010352, 0.000352
Simulacao, 375, 0.010182, 0.000182
Simulacao, 376, 0.010458, 0.000458
Simulacao, 377, 0.010436, 0.000436
Simulacao, 378, 0.010457, 0.000457
Simulacao, 379, 0.010358, 0.000358
Simulacao, 380, 0.010380, 0.000380
Simulacao, 381, 0.010462, 0.000462
Simulacao, 382, 0.010473, 0.000473
Simulacao, 383, 0.010226, 0.000226
Simulacao, 384, 0.010230, 0.000230
Simulacao, 385, 0.010520, 0.000520
Simulacao, 386, 0.010206, 0.000206
Simulacao, 387, 0.010383, 0.000383
Simulacao, 388, 0.010187, 0.000187
Simulacao, 389, 0.010333, 0.000333
Simulacao, 390, 0.010381, 0.000381
Simulacao, 391, 0.010473, 0.000473
Simulacao, 392, 0.010248, 0.000248
Simulacao, 393, 0.010496, 0.000496
Simulacao, 394, 0.010237, 0.000237
Simulacao, 395, 0.010206, 0.000206
