Tempo, ymy
3.19, -0.1985
3.20, -0.2019
3.21, -0.2053
3.22, -0.2087
3.23, -0.2120
3.24, -0.2154
3.25, -0.2188
3.26, -0.2221
3.27, -0.2254
3.28, -0.2288
3.29, -0.2321
3.30, -0.2354
3.31, -0.2387
3.32, -0.2420
3.33, -0.2453
3.34, -0.2486
3.35, -0.2519
3.36, -0.2551
3.37, -0.2584
3.38, -0.2616
3.39, -0.2649
3.40, -0.2681
3.41, -0.2713
3.42, -0.2745
3.43, -0.2777
3.44, -0.2809
3.45, -0.2841
3.46, -0.2872
3.47, -0.2904
3.48, -0.2935
3.49, -0.2967
3.50, -0.2998
3.51, -0.3029
3.52, -0.3060
3.53, -0.3091
3.54, -0.3122
3.55, -0.3152
3.56, -0.3183
3.57, -0.3214
3.58, -0.3244
3.59, -0.3274
3.60, -0.3304
3.61, -0.3334
3.62, -0.3364
3.63, -0.3394
3.64, -0.3423
3.65, -0.3453
3.66, -0.3482
3.67, -0.3512
3.68, -0.3541
3.69, -0.3570
3.70, -0.3599
3.71, -0.3627
3.72, -0.3656
3.73, -0.3684
3.74, -0.3713
3.75, -0.3741
3.76, -0.3769
3.77, -0.3797
3.78, -0.3825
3.79, -0.3852
3.80, -0.3880
3.81, -0.3907
3.82, -0.3935
3.83, -0.3962
3.84, -0.3989
3.85, -0.4016
3.86, -0.4042
3.87, -0.4069
3.88, -0.4095
3.89, -0.4121
3.90, -0.4147
3.91, -0.4173
3.92, -0.4199
3.93, -0.4225
3.94, -0.4250
3.95, -0.4276
3.96, -0.4301
3.97, -0.4326
3.98, -0.4351
3.99, -0.4375
4.00, -0.4400
4.01, -0.4424
4.02, -0.4449
4.03, -0.4473
4.04, -0.4497
4.05, -0.4520
4.06, -0.4544
4.07, -0.4567
4.08, -0.4591
4.09, -0.4614
4.10, -0.4637
4.11, -0.4659
4.12, -0.4682
4.13, -0.4704
4.14, -0.4727
4.15, -0.4749
4.16, -0.4771
4.17, -0.4792
4.18, -0.4814
4.19, -0.4835
4.20, -0.4857
4.21, -0.4878
4.22, -0.4899
4.23, -0.4919
4.24, -0.4940
4.25, -0.4960
4.26, -0.4980
4.27, -0.5000
4.28, -0.5020
4.29, -0.5040
4.30, -0.5059
4.31, -0.5078
4.32, -0.5098
4.33, -0.5116
4.34, -0.5135
4.35, -0.5154
4.36, -0.5172
4.37, -0.5190
4.38, -0.5208
4.39, -0.5226
4.40, -0.5244
4.41, -0.5261
4.42, -0.5278
4.43, -0.5295
4.44, -0.5312
4.45, -0.5329
4.46, -0.5345
4.47, -0.5361
4.48, -0.5377
4.49, -0.5393
4.50, -0.5409
4.51, -0.5424
4.52, -0.5440
4.53, -0.5455
4.54, -0.5470
4.55, -0.5484
4.56, -0.5499
4.57, -0.5513
4.58, -0.5527
4.59, -0.5541
4.60, -0.5555
4.61, -0.5568
4.62, -0.5582
4.63, -0.5595
4.64, -0.5608
4.65, -0.5620
4.66, -0.5633
4.67, -0.5645
4.68, -0.5657
4.69, -0.5669
4.70, -0.5681
4.71, -0.5692
4.72, -0.5704
4.73, -0.5715
4.74, -0.5726
4.75, -0.5736
4.76, -0.5747
4.77, -0.5757
4.78, -0.5767
4.79, -0.5777
4.80, -0.5786
4.81, -0.5796
4.82, -0.5805
4.83, -0.5814
4.84, -0.5823
4.85, -0.5831
4.86, -0.5840
4.87, -0.5848
4.88, -0.5856
4.89, -0.5864
4.90, -0.5871
4.91, -0.5878
4.92, -0.5886
4.93, -0.5892
4.94, -0.5899
4.95, -0.5906
4.96, -0.5912
4.97, -0.5918
4.98, -0.5924
4.99, -0.5929
5.00, -0.5935
5.01, -0.5940
5.02, -0.5945
5.03, -0.5950
5.04, -0.5954
5.05, -0.5959
5.06, -0.5963
5.07, -0.5967
5.08, -0.5970
5.09, -0.5974
5.10, -0.5977
5.11, -0.5980
5.12, -0.5983
5.13, -0.5985
5.14, -0.5988
5.15, -0.5990
5.16, -0.5992
5.17, -0.5994
5.18, -0.5995
5.19, -0.5997
5.20, -0.5998
5.21, -0.5999
5.22, -0.5999
5.23, -0.6000
5.24, -0.6000
5.25, -0.6000
5.26, -0.6000
5.27, -0.5999
5.28, -0.5999
5.29, -0.5998
5.30, -0.5997
5.31, -0.5996
5.32, -0.5994
5.33, -0.5992
5.34, -0.5990
5.35, -0.5988
5.36, -0.5986
5.37, -0.5983
5.38, -0.5981
5.39, -0.5978
5.40, -0.5974
5.41, -0.5971
5.42, -0.5967
5.43, -0.5963
5.44, -0.5959
5.45, -0.5955
5.46, -0.5951
5.47, -0.5946
5.48, -0.5941
5.49, -0.5936
5.50, -0.5930
5.51, -0.5925
5.52, -0.5919
5.53, -0.5913
5.54, -0.5907
5.55, -0.5900
5.56, -0.5894
5.57, -0.5887
5.58, -0.5880
5.59, -0.5873
5.60, -0.5865
5.61, -0.5857
5.62, -0.5850
5.63, -0.5841
5.64, -0.5833
5.65, -0.5825
5.66, -0.5816
5.67, -0.5807
5.68, -0.5798
5.69, -0.5788
5.70, -0.5779
5.71, -0.5769
5.72, -0.5759
5.73, -0.5749
5.74, -0.5738
5.75, -0.5728
5.76, -0.5717
5.77, -0.5706
5.78, -0.5695
5.79, -0.5683
5.80, -0.5672
5.81, -0.5660
5.82, -0.5648
5.83, -0.5635
5.84, -0.5623
5.85, -0.5610
5.86, -0.5597
5.87, -0.5584
5.88, -0.5571
5.89, -0.5558
5.90, -0.5544
5.91, -0.5530
5.92, -0.5516
5.93, -0.5502
5.94, -0.5487
5.95, -0.5473
5.96, -0.5458
5.97, -0.5443
5.98, -0.5427
5.99, -0.5412
6.00, -0.5396
6.01, -0.5381
6.02, -0.5365
6.03, -0.5348
6.04, -0.5332
6.05, -0.5315
6.06, -0.5298
6.07, -0.5282
6.08, -0.5264
6.09, -0.5247
6.10, -0.5229
6.11, -0.5212
6.12, -0.5194
6.13, -0.5176
6.14, -0.5157
6.15, -0.5139
6.16, -0.5120
6.17, -0.5101
6.18, -0.5082
6.19, -0.5063
6.20, -0.5044
6.21, -0.5024
6.22, -0.5004
6.23, -0.4984
6.24, -0.4964
6.25, -0.4944
6.26, -0.4923
6.27, -0.4903
6.28, -0.4882
6.29, -0.4861
6.30, -0.4840
6.31, -0.4818
6.32, -0.4797
6.33, -0.4775
6.34, -0.4753
6.35, -0.4731
6.36, -0.4709
6.37, -0.4686
6.38, -0.4664
6.39, -0.4641
6.40, -0.4618
6.41, -0.4595
6.42, -0.4572
6.43, -0.4549
6.44, -0.4525
6.45, -0.4501
6.46, -0.4477
6.47, -0.4453
6.48, -0.4429
6.49, -0.4405
6.50, -0.4380
6.51, -0.4356
6.52, -0.4331
6.53, -0.4306
6.54, -0.4281
6.55, -0.4255
6.56, -0.4230
6.57, -0.4204
6.58, -0.4178
6.59, -0.4153
6.60, -0.4127
6.61, -0.4100
6.62, -0.4074
6.63, -0.4047
6.64, -0.4021
6.65, -0.3994
6.66, -0.3967
6.67, -0.3940
6.68, -0.3913
6.69, -0.3885
6.70, -0.3858
6.71, -0.3830
6.72, -0.3802
6.73, -0.3775
6.74, -0.3747
6.75, -0.3718
6.76, -0.3690
6.77, -0.3662
6.78, -0.3633
6.79, -0.3604
6.80, -0.3575
6.81, -0.3546
6.82, -0.3517
6.83, -0.3488
6.84, -0.3459
6.85, -0.3429
6.86, -0.3400
6.87, -0.3370
6.88, -0.3340
6.89, -0.3310
6.90, -0.3280
6.91, -0.3250
6.92, -0.3220
6.93, -0.3189
6.94, -0.3159
6.95, -0.3128
6.96, -0.3097
6.97, -0.3066
6.98, -0.3035
6.99, -0.3004
7.00, -0.2973
7.01, -0.2942
7.02, -0.2910
7.03, -0.2879
7.04, -0.2847
7.05, -0.2815
7.06, -0.2783
7.07, -0.2751
7.08, -0.2719
7.09, -0.2687
7.10, -0.2655
7.11, -0.2623
7.12, -0.2590
7.13, -0.2558
7.14, -0.2525
7.15, -0.2492
7.16, -0.2460
7.17, -0.2427
7.18, -0.2394
7.19, -0.2361
7.20, -0.2328
7.21, -0.2294
7.22, -0.2261
7.23, -0.2228
7.24, -0.2194
7.25, -0.2161
7.26, -0.2127
7.27, -0.2093
7.28, -0.2060
7.29, -0.2026
7.30, -0.1992
7.31, -0.1958
7.32, -0.1924
7.33, -0.1890
7.34, -0.1855
7.35, -0.1821
7.36, -0.1787
7.37, -0.1752
7.38, -0.1718
7.39, -0.1683
7.40, -0.1649
7.41, -0.1614
7.42, -0.1579
7.43, -0.1545
7.44, -0.1510
7.45, -0.1475
7.46, -0.1440
7.47, -0.1405
7.48, -0.1370
7.49, -0.1335
7.50, -0.1300
7.51, -0.1265
7.52, -0.1230
7.53, -0.1194
7.54, -0.1159
7.55, -0.1124
7.56, -0.1088
7.57, -0.1053
7.58, -0.1017
7.59, -0.0982
7.60, -0.0946
7.61, -0.0911
7.62, -0.0875
7.63, -0.0840
7.64, -0.0804
7.65, -0.0768
7.66, -0.0733
7.67, -0.0697
7.68, -0.0661
7.69, -0.0625
7.70, -0.0589
7.71, -0.0554
7.72, -0.0518
7.73, -0.0482
7.74, -0.0446
7.75, -0.0410
7.76, -0.0374
7.77, -0.0338
7.78, -0.0302
7.79, -0.0266
7.80, -0.0230
7.81, -0.0194
7.82, -0.0158
7.83, -0.0122
7.84, -0.0086
7.85, -0.0050
7.86, -0.0014
7.87, 0.0022
7.88, 0.0058
7.89, 0.0094
7.90, 0.0130
7.91, 0.0166
7.92, 0.0202
7.93, 0.0238
7.94, 0.0274
7.95, 0.0310
7.96, 0.0345
7.97, 0.0381
7.98, 0.0417
7.99, 0.0453
8.00, 0.0489
8.01, 0.0525
8.02, 0.0561
8.03, 0.0597
8.04, 0.0632
8.05, 0.0668
8.06, 0.0704
8.07, 0.0740
8.08, 0.0775
8.09, 0.0811
8.10, 0.0847
8.11, 0.0882
8.12, 0.0918
8.13, 0.0954
8.14, 0.0989
8.15, 0.1025
8.16, 0.1060
8.17, 0.1095
8.18, 0.1131
8.19, 0.1166
8.20, 0.1201
8.21, 0.1237
8.22, 0.1272
8.23, 0.1307
8.24, 0.1342
8.25, 0.1377
8.26, 0.1412
8.27, 0.1447
8.28, 0.1482
8.29, 0.1517
8.30, 0.1552
8.31, 0.1587
8.32, 0.1621
8.33, 0.1656
8.34, 0.1690
8.35, 0.1725
8.36, 0.1759
8.37, 0.1794
8.38, 0.1828
8.39, 0.1862
8.40, 0.1897
8.41, 0.1931
8.42, 0.1965
8.43, 0.1999
8.44, 0.2033
8.45, 0.2066
8.46, 0.2100
8.47, 0.2134
8.48, 0.2168
8.49, 0.2201
8.50, 0.2234
8.51, 0.2268
8.52, 0.2301
8.53, 0.2334
8.54, 0.2367
8.55, 0.2401
8.56, 0.2433
8.57, 0.2466
8.58, 0.2499
8.59, 0.2532
8.60, 0.2564
8.61, 0.2597
8.62, 0.2629
8.63, 0.2662
8.64, 0.2694
8.65, 0.2726
8.66, 0.2758
8.67, 0.2790
8.68, 0.2822
8.69, 0.2853
8.70, 0.2885
8.71, 0.2917
8.72, 0.2948
8.73, 0.2979
8.74, 0.3010
8.75, 0.3042
8.76, 0.3073
8.77, 0.3103
8.78, 0.3134
8.79, 0.3165
8.80, 0.3195
8.81, 0.3226
8.82, 0.3256
8.83, 0.3286
8.84, 0.3316
8.85, 0.3346
8.86, 0.3376
8.87, 0.3406
8.88, 0.3435
8.89, 0.3465
8.90, 0.3494
8.91, 0.3523
8.92, 0.3552
8.93, 0.3581
8.94, 0.3610
8.95, 0.3639
8.96, 0.3667
8.97, 0.3696
8.98, 0.3724
8.99, 0.3752
9.00, 0.3780
9.01, 0.3808
9.02, 0.3836
9.03, 0.3864
9.04, 0.3891
9.05, 0.3918
9.06, 0.3946
9.07, 0.3973
9.08, 0.3999
9.09, 0.4026
9.10, 0.4053
9.11, 0.4079
9.12, 0.4106
9.13, 0.4132
9.14, 0.4158
9.15, 0.4184
9.16, 0.4209
9.17, 0.4235
9.18, 0.4260
9.19, 0.4286
9.20, 0.4311
9.21, 0.4336
9.22, 0.4361
9.23, 0.4385
9.24, 0.4410
9.25, 0.4434
9.26, 0.4458
9.27, 0.4482
9.28, 0.4506
9.29, 0.4530
9.30, 0.4553
9.31, 0.4577
9.32, 0.4600
9.33, 0.4623
9.34, 0.4646
9.35, 0.4669
9.36, 0.4691
9.37, 0.4713
9.38, 0.4736
9.39, 0.4758
9.40, 0.4779
9.41, 0.4801
9.42, 0.4823
9.43, 0.4844
9.44, 0.4865
9.45, 0.4886
9.46, 0.4907
9.47, 0.4928
9.48, 0.4948
9.49, 0.4968
9.50, 0.4988
9.51, 0.5008
9.52, 0.5028
9.53, 0.5048
9.54, 0.5067
9.55, 0.5086
9.56, 0.5105
9.57, 0.5124
9.58, 0.5143
9.59, 0.5161
9.60, 0.5179
9.61, 0.5197
9.62, 0.5215
9.63, 0.5233
9.64, 0.5251
9.65, 0.5268
9.66, 0.5285
9.67, 0.5302
9.68, 0.5319
9.69, 0.5335
9.70, 0.5352
9.71, 0.5368
9.72, 0.5384
9.73, 0.5400
9.74, 0.5415
9.75, 0.5431
9.76, 0.5446
9.77, 0.5461
9.78, 0.5476
9.79, 0.5490
9.80, 0.5505
9.81, 0.5519
9.82, 0.5533
9.83, 0.5547
9.84, 0.5560
9.85, 0.5574
9.86, 0.5587
9.87, 0.5600
9.88, 0.5613
9.89, 0.5625
9.90, 0.5638
9.91, 0.5650
9.92, 0.5662
9.93, 0.5674
9.94, 0.5686
9.95, 0.5697
9.96, 0.5708
9.97, 0.5719
9.98, 0.5730
9.99, 0.5740
10.00, 0.5751
10.01, 0.5761
10.02, 0.5771
10.03, 0.5781
10.04, 0.5790
10.05, 0.5800
10.06, 0.5809
10.07, 0.5818
10.08, 0.5826
10.09, 0.5835
10.10, 0.5843
10.11, 0.5851
10.12, 0.5859
10.13, 0.5867
10.14, 0.5874
10.15, 0.5881
10.16, 0.5888
10.17, 0.5895
10.18, 0.5902
10.19, 0.5908
10.20, 0.5914
10.21, 0.5920
10.22, 0.5926
10.23, 0.5932
10.24, 0.5937
10.25, 0.5942
10.26, 0.5947
10.27, 0.5952
10.28, 0.5956
10.29, 0.5960
10.30, 0.5964
10.31, 0.5968
10.32, 0.5972
10.33, 0.5975
10.34, 0.5978
10.35, 0.5981
10.36, 0.5984
10.37, 0.5986
10.38, 0.5989
10.39, 0.5991
10.40, 0.5993
10.41, 0.5994
10.42, 0.5996
10.43, 0.5997
10.44, 0.5998
10.45, 0.5999
10.46, 0.5999
10.47, 0.6000
10.48, 0.6000
10.49, 0.6000
10.50, 0.6000
10.51, 0.5999
10.52, 0.5998
10.53, 0.5998
10.54, 0.5996
10.55, 0.5995
10.56, 0.5993
10.57, 0.5992
10.58, 0.5990
10.59, 0.5987
10.60, 0.5985
10.61, 0.5982
10.62, 0.5979
10.63, 0.5976
10.64, 0.5973
10.65, 0.5970
10.66, 0.5966
10.67, 0.5962
10.68, 0.5958
10.69, 0.5953
10.70, 0.5949
10.71, 0.5944
10.72, 0.5939
10.73, 0.5934
10.74, 0.5928
10.75, 0.5923
10.76, 0.5917
10.77, 0.5911
10.78, 0.5904
10.79, 0.5898
10.80, 0.5891
10.81, 0.5884
10.82, 0.5877
10.83, 0.5870
10.84, 0.5862
10.85, 0.5854
10.86, 0.5846
10.87, 0.5838
10.88, 0.5830
10.89, 0.5821
10.90, 0.5812
10.91, 0.5803
10.92, 0.5794
10.93, 0.5785
10.94, 0.5775
10.95, 0.5765
10.96, 0.5755
10.97, 0.5745
10.98, 0.5734
10.99, 0.5723
11.00, 0.5713
11.01, 0.5701
11.02, 0.5690
11.03, 0.5679
11.04, 0.5667
11.05, 0.5655
11.06, 0.5643
11.07, 0.5630
11.08, 0.5618
11.09, 0.5605
11.10, 0.5592
11.11, 0.5579
11.12, 0.5566
11.13, 0.5552
11.14, 0.5538
11.15, 0.5524
11.16, 0.5510
11.17, 0.5496
11.18, 0.5481
11.19, 0.5467
11.20, 0.5452
11.21, 0.5437
11.22, 0.5421
11.23, 0.5406
11.24, 0.5390
11.25, 0.5374
11.26, 0.5358
11.27, 0.5342
11.28, 0.5325
11.29, 0.5309
11.30, 0.5292
11.31, 0.5275
11.32, 0.5257
11.33, 0.5240
11.34, 0.5222
11.35, 0.5204
11.36, 0.5186
11.37, 0.5168
11.38, 0.5150
11.39, 0.5131
11.40, 0.5113
11.41, 0.5094
11.42, 0.5075
11.43, 0.5055
11.44, 0.5036
11.45, 0.5016
11.46, 0.4996
11.47, 0.4976
11.48, 0.4956
11.49, 0.4936
11.50, 0.4915
11.51, 0.4894
11.52, 0.4873
11.53, 0.4852
11.54, 0.4831
11.55, 0.4810
11.56, 0.4788
11.57, 0.4766
