Tempo,VelLinear(v),VelAngular(w),PosX_Frente(x),PosY_Frente(y)
3.300000,1.000000,0.628319,1.359351,2.467629
3.330000,1.000000,0.628319,1.359351,2.467629
3.360000,1.000000,0.628319,1.331171,2.509109
3.390000,1.000000,0.628319,1.331171,2.509109
3.420000,1.000000,0.628319,1.301701,2.549684
3.450000,1.000000,0.628319,1.270971,2.589314
3.480000,1.000000,0.628319,1.270971,2.589314
3.510000,1.000000,0.628319,1.239011,2.627958
3.540000,1.000000,0.628319,1.239011,2.627958
3.570000,1.000000,0.628319,1.205854,2.665580
3.600000,1.000000,0.628319,1.171531,2.702141
3.630000,1.000000,0.628319,1.171531,2.702141
3.660000,1.000000,0.628319,1.136077,2.737606
3.690000,1.000000,0.628319,1.136077,2.737606
3.720000,1.000000,0.628319,1.099526,2.771941
3.750000,1.000000,0.628319,1.061914,2.805110
3.780000,1.000000,0.628319,1.061914,2.805110
3.810000,1.000000,0.628319,1.023280,2.837081
3.840000,1.000000,0.628319,1.023280,2.837081
3.870000,1.000000,0.628319,0.983660,2.867823
3.900000,1.000000,0.628319,0.943094,2.897306
3.930000,1.000000,0.628319,0.943094,2.897306
3.960000,1.000000,0.628319,0.901622,2.925499
3.990000,1.000000,0.628319,0.901622,2.925499
4.020000,1.000000,0.628319,0.859285,2.952376
4.050000,1.000000,0.628319,0.816125,2.977910
4.080000,1.000000,0.628319,0.816125,2.977910
4.110000,1.000000,0.628319,0.772184,3.002076
4.140000,1.000000,0.628319,0.772184,3.002076
4.170000,1.000000,0.628319,0.727505,3.024850
4.200000,1.000000,0.628319,0.682133,3.046208
4.230000,1.000000,0.628319,0.682133,3.046208
4.260000,1.000000,0.628319,0.636113,3.066132
4.290000,1.000000,0.628319,0.636113,3.066132
4.320000,1.000000,0.628319,0.589490,3.084599
4.350000,1.000000,0.628319,0.542309,3.101594
4.380000,1.000000,0.628319,0.542309,3.101594
4.410000,1.000000,0.628319,0.494618,3.117098
4.440000,1.000000,0.628319,0.494618,3.117098
4.470000,1.000000,0.628319,0.446464,3.131096
4.500000,1.000000,0.628319,0.397893,3.143575
4.530000,1.000000,0.628319,0.397893,3.143575
4.560000,1.000000,0.628319,0.348955,3.154522
4.590000,1.000000,0.628319,0.348955,3.154522
4.620000,1.000000,0.628319,0.299697,3.163926
4.650000,1.000000,0.628319,0.250168,3.171778
4.680000,1.000000,0.628319,0.250168,3.171778
4.710000,1.000000,0.628319,0.200416,3.178071
4.740000,1.000000,0.628319,0.200416,3.178071
4.770000,1.000000,0.628319,0.150492,3.182798
4.800000,1.000000,0.628319,0.100443,3.185955
4.830000,1.000000,0.628319,0.100443,3.185955
4.860000,1.000000,0.628319,0.050320,3.187538
4.890000,1.000000,0.628319,0.050320,3.187538
4.920000,1.000000,0.628319,0.000173,3.187546
4.950000,1.000000,0.628319,-0.049951,3.185978
4.980000,1.000000,0.628319,-0.049951,3.185978
5.010000,1.000000,0.628319,-0.100000,3.182837
5.040000,1.000000,0.628319,-0.100000,3.182837
5.070000,1.000000,0.628319,-0.149926,3.178125
5.100000,1.000000,0.628319,-0.199679,3.171848
5.130000,1.000000,0.628319,-0.199679,3.171848
5.160000,1.000000,0.628319,-0.249211,3.164011
5.190000,1.000000,0.628319,-0.249211,3.164011
5.220000,1.000000,0.628319,-0.298472,3.154622
5.250000,1.000000,0.628319,-0.347414,3.143690
5.280000,1.000000,0.628319,-0.347414,3.143690
5.310000,1.000000,0.628319,-0.395988,3.131226
5.340000,1.000000,0.628319,-0.395988,3.131226
5.370000,1.000000,0.628319,-0.444147,3.117243
5.400000,1.000000,0.628319,-0.491843,3.101753
5.430000,1.000000,0.628319,-0.491843,3.101753
5.460000,1.000000,0.628319,-0.539028,3.084774
5.490000,1.000000,0.628319,-0.539028,3.084774
5.520000,1.000000,0.628319,-0.585657,3.066320
5.550000,1.000000,0.628319,-0.631684,3.046411
5.580000,1.000000,0.628319,-0.631684,3.046411
5.610000,1.000000,0.628319,-0.677062,3.025066
5.640000,1.000000,0.628319,-0.677062,3.025066
5.670000,1.000000,0.628319,-0.721748,3.002307
5.700000,1.000000,0.628319,-0.765696,2.978155
5.730000,1.000000,0.628319,-0.765696,2.978155
5.760000,1.000000,0.628319,-0.808865,2.952634
5.790000,1.000000,0.628319,-0.808865,2.952634
5.820000,1.000000,0.628319,-0.851210,2.925770
5.850000,1.000000,0.628319,-0.892691,2.897589
5.880000,1.000000,0.628319,-0.892691,2.897589
5.910000,1.000000,0.628319,-0.933266,2.868119
5.940000,1.000000,0.628319,-0.972895,2.837389
5.970000,1.000000,0.628319,-0.972895,2.837389
6.000000,1.000000,0.628319,-1.011539,2.805430
6.030000,1.000000,0.628319,-1.011539,2.805430
6.060000,1.000000,0.628319,-1.049161,2.772272
6.090000,1.000000,0.628319,-1.085723,2.737950
6.120000,1.000000,0.628319,-1.085723,2.737950
6.150000,1.000000,0.628319,-1.121188,2.702495
6.180000,1.000000,0.628319,-1.121188,2.702495
6.210000,1.000000,0.628319,-1.155522,2.665944
6.240000,1.000000,0.628319,-1.188691,2.628333
6.270000,1.000000,0.628319,-1.188691,2.628333
6.300000,1.000000,0.628319,-1.220663,2.589698
6.330000,1.000000,0.628319,-1.220663,2.589698
6.360000,1.000000,0.628319,-1.251405,2.550079
6.390000,1.000000,0.628319,-1.280887,2.509513
6.420000,1.000000,0.628319,-1.280887,2.509513
6.450000,1.000000,0.628319,-1.309081,2.468041
6.480000,1.000000,0.628319,-1.309081,2.468041
6.510000,1.000000,0.628319,-1.335958,2.425704
6.540000,1.000000,0.628319,-1.361492,2.382543
6.570000,1.000000,0.628319,-1.361492,2.382543
6.600000,1.000000,0.628319,-1.385657,2.338602
6.630000,1.000000,0.628319,-1.385657,2.338602
6.660000,1.000000,0.628319,-1.408431,2.293924
6.690000,1.000000,0.628319,-1.429790,2.248552
6.720000,1.000000,0.628319,-1.429790,2.248552
6.750000,1.000000,0.628319,-1.449713,2.202532
6.780000,1.000000,0.628319,-1.449713,2.202532
6.810000,1.000000,0.628319,-1.468181,2.155908
6.840000,1.000000,0.628319,-1.485175,2.108728
6.870000,1.000000,0.628319,-1.485175,2.108728
6.900000,1.000000,0.628319,-1.500679,2.061037
6.930000,1.000000,0.628319,-1.500679,2.061037
6.960000,1.000000,0.628319,-1.514677,2.012882
6.990000,1.000000,0.628319,-1.527156,1.964312
7.020000,1.000000,0.628319,-1.527156,1.964312
7.050000,1.000000,0.628319,-1.538103,1.915373
7.080000,1.000000,0.628319,-1.538103,1.915373
7.110000,1.000000,0.628319,-1.547507,1.866115
7.140000,1.000000,0.628319,-1.555360,1.816586
7.170000,1.000000,0.628319,-1.555360,1.816586
7.200000,1.000000,0.628319,-1.561653,1.766835
7.230000,1.000000,0.628319,-1.561653,1.766835
7.260000,1.000000,0.628319,-1.566380,1.716910
7.290000,1.000000,0.628319,-1.569536,1.666862
7.320000,1.000000,0.628319,-1.569536,1.666862
7.350000,1.000000,0.628319,-1.571119,1.616739
7.380000,1.000000,0.628319,-1.571119,1.616739
7.410000,1.000000,0.628319,-1.571127,1.566591
7.440000,1.000000,0.628319,-1.569560,1.516468
7.470000,1.000000,0.628319,-1.569560,1.516468
7.500000,1.000000,0.628319,-1.566419,1.466419
7.530000,1.000000,0.628319,-1.566419,1.466419
7.560000,1.000000,0.628319,-1.561707,1.416493
7.590000,1.000000,0.628319,-1.555429,1.366739
7.620000,1.000000,0.628319,-1.555429,1.366739
7.650000,1.000000,0.628319,-1.547592,1.317208
7.680000,1.000000,0.628319,-1.547592,1.317208
7.710000,1.000000,0.628319,-1.538203,1.267947
7.740000,1.000000,0.628319,-1.527271,1.219005
