Tempo, ymx
13.94, 0.3781
13.95, 0.3804
13.96, 0.3828
13.97, 0.3851
13.98, 0.3874
13.99, 0.3896
14.00, 0.3919
14.01, 0.3942
14.02, 0.3964
14.03, 0.3987
14.04, 0.4009
14.05, 0.4032
14.06, 0.4054
14.07, 0.4076
14.08, 0.4098
14.09, 0.4120
14.10, 0.4141
14.11, 0.4163
14.12, 0.4185
14.13, 0.4206
14.14, 0.4227
14.15, 0.4249
14.16, 0.4270
14.17, 0.4291
14.18, 0.4312
14.19, 0.4333
14.20, 0.4353
14.21, 0.4374
14.22, 0.4394
14.23, 0.4415
14.24, 0.4435
14.25, 0.4455
14.26, 0.4475
14.27, 0.4495
14.28, 0.4515
14.29, 0.4535
14.30, 0.4554
14.31, 0.4574
14.32, 0.4593
14.33, 0.4612
14.34, 0.4631
14.35, 0.4650
14.36, 0.4669
14.37, 0.4688
14.38, 0.4707
14.39, 0.4725
14.40, 0.4744
14.41, 0.4762
14.42, 0.4780
14.43, 0.4798
14.44, 0.4816
14.45, 0.4834
14.46, 0.4852
14.47, 0.4869
14.48, 0.4887
14.49, 0.4904
14.50, 0.4921
14.51, 0.4938
14.52, 0.4955
14.53, 0.4972
14.54, 0.4989
14.55, 0.5006
14.56, 0.5022
14.57, 0.5038
14.58, 0.5055
14.59, 0.5071
14.60, 0.5087
14.61, 0.5103
14.62, 0.5118
14.63, 0.5134
14.64, 0.5149
14.65, 0.5165
14.66, 0.5180
14.67, 0.5195
14.68, 0.5210
14.69, 0.5225
14.70, 0.5239
14.71, 0.5254
14.72, 0.5268
14.73, 0.5283
14.74, 0.5297
14.75, 0.5311
14.76, 0.5325
14.77, 0.5339
14.78, 0.5352
14.79, 0.5366
14.80, 0.5379
14.81, 0.5392
14.82, 0.5405
14.83, 0.5418
14.84, 0.5431
14.85, 0.5444
14.86, 0.5456
14.87, 0.5469
14.88, 0.5481
14.89, 0.5493
14.90, 0.5505
14.91, 0.5517
14.92, 0.5529
14.93, 0.5540
14.94, 0.5552
14.95, 0.5563
14.96, 0.5574
14.97, 0.5585
14.98, 0.5596
14.99, 0.5607
15.00, 0.5618
15.01, 0.5628
15.02, 0.5638
15.03, 0.5649
15.04, 0.5659
15.05, 0.5668
15.06, 0.5678
15.07, 0.5688
15.08, 0.5697
15.09, 0.5707
15.10, 0.5716
15.11, 0.5725
15.12, 0.5734
15.13, 0.5743
15.14, 0.5751
15.15, 0.5760
15.16, 0.5768
15.17, 0.5776
15.18, 0.5784
15.19, 0.5792
15.20, 0.5800
15.21, 0.5808
15.22, 0.5815
15.23, 0.5822
15.24, 0.5829
15.25, 0.5837
15.26, 0.5843
15.27, 0.5850
15.28, 0.5857
15.29, 0.5863
15.30, 0.5869
15.31, 0.5876
15.32, 0.5882
15.33, 0.5887
15.34, 0.5893
15.35, 0.5899
15.36, 0.5904
15.37, 0.5909
15.38, 0.5915
15.39, 0.5920
15.40, 0.5924
15.41, 0.5929
15.42, 0.5934
15.43, 0.5938
15.44, 0.5942
15.45, 0.5946
15.46, 0.5950
15.47, 0.5954
15.48, 0.5958
15.49, 0.5961
15.50, 0.5964
15.51, 0.5968
15.52, 0.5971
15.53, 0.5974
15.54, 0.5976
15.55, 0.5979
15.56, 0.5981
15.57, 0.5984
15.58, 0.5986
15.59, 0.5988
15.60, 0.5990
15.61, 0.5991
15.62, 0.5993
15.63, 0.5994
15.64, 0.5995
15.65, 0.5997
15.66, 0.5997
15.67, 0.5998
15.68, 0.5999
15.69, 0.5999
15.70, 0.6000
15.71, 0.6000
15.72, 0.6000
15.73, 0.6000
15.74, 0.6000
15.75, 0.5999
15.76, 0.5999
15.77, 0.5998
15.78, 0.5997
15.79, 0.5996
15.80, 0.5995
15.81, 0.5994
15.82, 0.5992
15.83, 0.5991
15.84, 0.5989
15.85, 0.5987
15.86, 0.5985
15.87, 0.5983
15.88, 0.5980
15.89, 0.5978
15.90, 0.5975
15.91, 0.5972
15.92, 0.5969
15.93, 0.5966
15.94, 0.5963
15.95, 0.5960
15.96, 0.5956
15.97, 0.5952
15.98, 0.5949
15.99, 0.5945
16.00, 0.5940
16.01, 0.5936
16.02, 0.5932
16.03, 0.5927
16.04, 0.5922
16.05, 0.5918
16.06, 0.5912
16.07, 0.5907
16.08, 0.5902
16.09, 0.5896
16.10, 0.5891
16.11, 0.5885
16.12, 0.5879
16.13, 0.5873
16.14, 0.5867
16.15, 0.5861
16.16, 0.5854
16.17, 0.5847
16.18, 0.5841
16.19, 0.5834
16.20, 0.5827
16.21, 0.5819
16.22, 0.5812
16.23, 0.5804
16.24, 0.5797
16.25, 0.5789
16.26, 0.5781
16.27, 0.5773
16.28, 0.5765
16.29, 0.5756
16.30, 0.5748
16.31, 0.5739
16.32, 0.5730
16.33, 0.5721
16.34, 0.5712
16.35, 0.5703
16.36, 0.5693
16.37, 0.5684
16.38, 0.5674
16.39, 0.5664
16.40, 0.5654
16.41, 0.5644
16.42, 0.5634
16.43, 0.5624
16.44, 0.5613
16.45, 0.5603
16.46, 0.5592
16.47, 0.5581
16.48, 0.5570
16.49, 0.5558
16.50, 0.5547
16.51, 0.5536
16.52, 0.5524
16.53, 0.5512
16.54, 0.5500
16.55, 0.5488
16.56, 0.5476
16.57, 0.5464
16.58, 0.5451
16.59, 0.5439
16.60, 0.5426
16.61, 0.5413
16.62, 0.5400
16.63, 0.5387
16.64, 0.5374
16.65, 0.5360
16.66, 0.5347
16.67, 0.5333
16.68, 0.5319
16.69, 0.5305
16.70, 0.5291
16.71, 0.5277
16.72, 0.5263
16.73, 0.5248
16.74, 0.5233
16.75, 0.5219
16.76, 0.5204
16.77, 0.5189
16.78, 0.5174
16.79, 0.5158
16.80, 0.5143
16.81, 0.5128
16.82, 0.5112
16.83, 0.5096
16.84, 0.5080
16.85, 0.5064
16.86, 0.5048
16.87, 0.5032
16.88, 0.5015
16.89, 0.4999
16.90, 0.4982
16.91, 0.4965
16.92, 0.4949
16.93, 0.4932
16.94, 0.4914
16.95, 0.4897
16.96, 0.4880
16.97, 0.4862
16.98, 0.4845
16.99, 0.4827
17.00, 0.4809
17.01, 0.4791
17.02, 0.4773
17.03, 0.4755
17.04, 0.4736
17.05, 0.4718
17.06, 0.4699
17.07, 0.4680
17.08, 0.4662
17.09, 0.4643
17.10, 0.4624
17.11, 0.4604
17.12, 0.4585
17.13, 0.4566
17.14, 0.4546
17.15, 0.4527
17.16, 0.4507
17.17, 0.4487
17.18, 0.4467
17.19, 0.4447
17.20, 0.4427
17.21, 0.4406
17.22, 0.4386
17.23, 0.4365
17.24, 0.4345
17.25, 0.4324
17.26, 0.4303
17.27, 0.4282
17.28, 0.4261
17.29, 0.4240
17.30, 0.4219
17.31, 0.4197
17.32, 0.4176
17.33, 0.4154
17.34, 0.4133
17.35, 0.4111
17.36, 0.4089
17.37, 0.4067
17.38, 0.4045
17.39, 0.4023
17.40, 0.4000
17.41, 0.3978
17.42, 0.3955
17.43, 0.3933
17.44, 0.3910
17.45, 0.3887
17.46, 0.3864
17.47, 0.3841
17.48, 0.3818
17.49, 0.3795
17.50, 0.3772
17.51, 0.3748
17.52, 0.3725
17.53, 0.3701
17.54, 0.3678
17.55, 0.3654
17.56, 0.3630
17.57, 0.3606
17.58, 0.3582
17.59, 0.3558
17.60, 0.3534
17.61, 0.3510
17.62, 0.3485
17.63, 0.3461
17.64, 0.3436
17.65, 0.3411
17.66, 0.3387
17.67, 0.3362
17.68, 0.3337
17.69, 0.3312
17.70, 0.3287
17.71, 0.3262
17.72, 0.3237
17.73, 0.3211
17.74, 0.3186
17.75, 0.3161
17.76, 0.3135
17.77, 0.3109
17.78, 0.3084
17.79, 0.3058
17.80, 0.3032
17.81, 0.3006
17.82, 0.2980
17.83, 0.2954
17.84, 0.2928
17.85, 0.2902
17.86, 0.2875
17.87, 0.2849
17.88, 0.2823
17.89, 0.2796
17.90, 0.2769
17.91, 0.2743
17.92, 0.2716
17.93, 0.2689
17.94, 0.2662
17.95, 0.2636
17.96, 0.2609
17.97, 0.2582
17.98, 0.2554
17.99, 0.2527
18.00, 0.2500
18.01, 0.2473
18.02, 0.2445
18.03, 0.2418
18.04, 0.2390
18.05, 0.2363
18.06, 0.2335
18.07, 0.2308
18.08, 0.2280
18.09, 0.2252
18.10, 0.2224
18.11, 0.2196
18.12, 0.2168
18.13, 0.2140
18.14, 0.2112
18.15, 0.2084
18.16, 0.2056
18.17, 0.2028
18.18, 0.2000
18.19, 0.1971
18.20, 0.1943
18.21, 0.1915
18.22, 0.1886
18.23, 0.1858
18.24, 0.1829
18.25, 0.1800
18.26, 0.1772
18.27, 0.1743
18.28, 0.1714
18.29, 0.1686
18.30, 0.1657
18.31, 0.1628
18.32, 0.1599
18.33, 0.1570
18.34, 0.1541
18.35, 0.1512
18.36, 0.1483
18.37, 0.1454
18.38, 0.1425
18.39, 0.1396
18.40, 0.1367
18.41, 0.1337
18.42, 0.1308
18.43, 0.1279
18.44, 0.1249
18.45, 0.1220
18.46, 0.1191
18.47, 0.1161
18.48, 0.1132
18.49, 0.1102
18.50, 0.1073
18.51, 0.1043
18.52, 0.1014
18.53, 0.0984
18.54, 0.0955
18.55, 0.0925
18.56, 0.0895
18.57, 0.0866
18.58, 0.0836
18.59, 0.0806
18.60, 0.0776
18.61, 0.0747
18.62, 0.0717
18.63, 0.0687
18.64, 0.0657
18.65, 0.0628
18.66, 0.0598
18.67, 0.0568
18.68, 0.0538
18.69, 0.0508
18.70, 0.0478
18.71, 0.0448
18.72, 0.0418
18.73, 0.0388
18.74, 0.0358
18.75, 0.0329
18.76, 0.0299
18.77, 0.0269
18.78, 0.0239
18.79, 0.0209
18.80, 0.0179
18.81, 0.0149
18.82, 0.0119
18.83, 0.0089
18.84, 0.0059
18.85, 0.0029
18.86, -0.0001
18.87, -0.0031
18.88, -0.0061
18.89, -0.0091
18.90, -0.0121
18.91, -0.0151
18.92, -0.0181
18.93, -0.0211
18.94, -0.0241
18.95, -0.0271
18.96, -0.0301
18.97, -0.0331
18.98, -0.0361
18.99, -0.0391
19.00, -0.0421
19.01, -0.0451
19.02, -0.0481
19.03, -0.0511
19.04, -0.0541
19.05, -0.0570
19.06, -0.0600
19.07, -0.0630
19.08, -0.0660
19.09, -0.0690
19.10, -0.0720
19.11, -0.0749
19.12, -0.0779
19.13, -0.0809
19.14, -0.0839
19.15, -0.0868
19.16, -0.0898
19.17, -0.0928
19.18, -0.0957
19.19, -0.0987
19.20, -0.1016
19.21, -0.1046
19.22, -0.1075
19.23, -0.1105
19.24, -0.1134
19.25, -0.1164
19.26, -0.1193
19.27, -0.1223
19.28, -0.1252
19.29, -0.1281
19.30, -0.1311
19.31, -0.1340
19.32, -0.1369
19.33, -0.1398
19.34, -0.1428
19.35, -0.1457
19.36, -0.1486
19.37, -0.1515
19.38, -0.1544
19.39, -0.1573
19.40, -0.1602
19.41, -0.1631
19.42, -0.1659
19.43, -0.1688
19.44, -0.1717
19.45, -0.1746
19.46, -0.1774
19.47, -0.1803
19.48, -0.1832
19.49, -0.1860
19.50, -0.1889
19.51, -0.1917
19.52, -0.1946
19.53, -0.1974
19.54, -0.2002
19.55, -0.2030
19.56, -0.2059
19.57, -0.2087
19.58, -0.2115
19.59, -0.2143
19.60, -0.2171
19.61, -0.2199
19.62, -0.2227
19.63, -0.2255
19.64, -0.2282
19.65, -0.2310
19.66, -0.2338
19.67, -0.2365
19.68, -0.2393
19.69, -0.2420
19.70, -0.2448
19.71, -0.2475
19.72, -0.2502
19.73, -0.2530
19.74, -0.2557
19.75, -0.2584
19.76, -0.2611
19.77, -0.2638
19.78, -0.2665
19.79, -0.2692
19.80, -0.2719
19.81, -0.2745
19.82, -0.2772
19.83, -0.2798
19.84, -0.2825
19.85, -0.2851
19.86, -0.2878
19.87, -0.2904
19.88, -0.2930
19.89, -0.2956
19.90, -0.2982
19.91, -0.3008
19.92, -0.3034
19.93, -0.3060
19.94, -0.3086
19.95, -0.3112
19.96, -0.3137
19.97, -0.3163
19.98, -0.3188
19.99, -0.3214
