Tempo, Xref, Yref
1.99, 0.8388, 0.3679
2.00, 0.8415, 0.3624
2.01, 0.8442, 0.3568
2.02, 0.8468, 0.3511
2.03, 0.8495, 0.3455
2.04, 0.8521, 0.3399
2.05, 0.8547, 0.3342
2.06, 0.8573, 0.3286
2.07, 0.8599, 0.3229
2.08, 0.8624, 0.3172
2.09, 0.8649, 0.3115
2.10, 0.8674, 0.3058
2.11, 0.8699, 0.3001
2.12, 0.8724, 0.2944
2.13, 0.8748, 0.2886
2.14, 0.8772, 0.2829
2.15, 0.8796, 0.2771
2.16, 0.8820, 0.2714
2.17, 0.8843, 0.2656
2.18, 0.8866, 0.2598
2.19, 0.8889, 0.2540
2.20, 0.8912, 0.2482
2.21, 0.8935, 0.2424
2.22, 0.8957, 0.2365
2.23, 0.8979, 0.2307
2.24, 0.9001, 0.2249
2.25, 0.9023, 0.2190
2.26, 0.9044, 0.2131
2.27, 0.9065, 0.2073
2.28, 0.9086, 0.2014
2.29, 0.9107, 0.1955
2.30, 0.9128, 0.1896
2.31, 0.9148, 0.1837
2.32, 0.9168, 0.1778
2.33, 0.9188, 0.1719
2.34, 0.9208, 0.1660
2.35, 0.9227, 0.1601
2.36, 0.9246, 0.1542
2.37, 0.9265, 0.1482
2.38, 0.9284, 0.1423
2.39, 0.9302, 0.1364
2.40, 0.9320, 0.1304
2.41, 0.9338, 0.1245
2.42, 0.9356, 0.1185
2.43, 0.9374, 0.1126
2.44, 0.9391, 0.1066
2.45, 0.9408, 0.1006
2.46, 0.9425, 0.0947
2.47, 0.9441, 0.0887
2.48, 0.9458, 0.0827
2.49, 0.9474, 0.0767
2.50, 0.9490, 0.0707
2.51, 0.9505, 0.0648
2.52, 0.9521, 0.0588
2.53, 0.9536, 0.0528
2.54, 0.9551, 0.0468
2.55, 0.9566, 0.0408
2.56, 0.9580, 0.0348
2.57, 0.9594, 0.0288
2.58, 0.9608, 0.0228
2.59, 0.9622, 0.0168
2.60, 0.9636, 0.0108
2.61, 0.9649, 0.0048
2.62, 0.9662, -0.0012
2.63, 0.9675, -0.0072
2.64, 0.9687, -0.0132
2.65, 0.9699, -0.0192
2.66, 0.9711, -0.0252
2.67, 0.9723, -0.0312
2.68, 0.9735, -0.0372
2.69, 0.9746, -0.0432
2.70, 0.9757, -0.0492
2.71, 0.9768, -0.0552
2.72, 0.9779, -0.0612
2.73, 0.9789, -0.0672
2.74, 0.9799, -0.0731
2.75, 0.9809, -0.0791
2.76, 0.9819, -0.0851
2.77, 0.9828, -0.0911
2.78, 0.9837, -0.0971
2.79, 0.9846, -0.1030
2.80, 0.9854, -0.1090
2.81, 0.9863, -0.1149
2.82, 0.9871, -0.1209
2.83, 0.9879, -0.1269
2.84, 0.9887, -0.1328
2.85, 0.9894, -0.1388
2.86, 0.9901, -0.1447
2.87, 0.9908, -0.1506
2.88, 0.9915, -0.1566
2.89, 0.9921, -0.1625
2.90, 0.9927, -0.1684
2.91, 0.9933, -0.1743
2.92, 0.9939, -0.1802
2.93, 0.9944, -0.1861
2.94, 0.9949, -0.1920
2.95, 0.9954, -0.1979
2.96, 0.9959, -0.2038
2.97, 0.9963, -0.2096
2.98, 0.9967, -0.2155
2.99, 0.9971, -0.2214
3.00, 0.9975, -0.2272
3.01, 0.9978, -0.2330
3.02, 0.9982, -0.2389
3.03, 0.9984, -0.2447
3.04, 0.9987, -0.2505
3.05, 0.9990, -0.2563
3.06, 0.9992, -0.2621
3.07, 0.9994, -0.2679
3.08, 0.9995, -0.2737
3.09, 0.9997, -0.2794
3.10, 0.9998, -0.2852
3.11, 0.9999, -0.2909
3.12, 0.9999, -0.2967
3.13, 1.0000, -0.3024
3.14, 1.0000, -0.3081
3.15, 1.0000, -0.3138
3.16, 1.0000, -0.3195
3.17, 0.9999, -0.3252
3.18, 0.9998, -0.3308
3.19, 0.9997, -0.3365
3.20, 0.9996, -0.3421
3.21, 0.9994, -0.3478
3.22, 0.9992, -0.3534
3.23, 0.9990, -0.3590
3.24, 0.9988, -0.3646
3.25, 0.9985, -0.3702
3.26, 0.9982, -0.3757
3.27, 0.9979, -0.3813
3.28, 0.9976, -0.3868
3.29, 0.9972, -0.3924
3.30, 0.9969, -0.3979
3.31, 0.9965, -0.4034
3.32, 0.9960, -0.4089
3.33, 0.9956, -0.4143
3.34, 0.9951, -0.4198
3.35, 0.9946, -0.4252
3.36, 0.9940, -0.4306
3.37, 0.9935, -0.4360
3.38, 0.9929, -0.4414
3.39, 0.9923, -0.4468
3.40, 0.9917, -0.4522
3.41, 0.9910, -0.4575
