Tempo, Posicao X, Posicao Y, Orientacao
3.600000, -0.359084, 1.927391, 3.530000
3.630000, -0.386734, 1.915753, 3.560000
3.660000, -0.414022, 1.903291, 3.590000
3.690000, -0.440923, 1.890015, 3.620000
3.720000, -0.467415, 1.875939, 3.650000
3.750000, -0.493472, 1.861075, 3.680000
3.780000, -0.519072, 1.845435, 3.710000
3.810000, -0.544191, 1.829035, 3.740000
3.840000, -0.568807, 1.811889, 3.770000
3.870000, -0.592898, 1.794012, 3.800000
3.900000, -0.608656, 1.781696, 3.820000
3.930000, -0.631823, 1.762638, 3.850000
3.960000, -0.654408, 1.742893, 3.880000
3.990000, -0.676390, 1.722479, 3.910000
4.020000, -0.697750, 1.701415, 3.940000
4.050000, -0.718469, 1.679720, 3.970000
4.080000, -0.738528, 1.657414, 4.000000
4.110000, -0.757909, 1.634516, 4.030000
4.140000, -0.776594, 1.611046, 4.060000
4.170000, -0.794566, 1.587027, 4.090000
4.200000, -0.811811, 1.562480, 4.120000
4.230000, -0.828311, 1.537426, 4.150000
4.260000, -0.844052, 1.511889, 4.180000
4.290000, -0.859020, 1.485891, 4.210000
4.320000, -0.873201, 1.459455, 4.240000
4.350000, -0.882212, 1.441600, 4.260000
4.380000, -0.895055, 1.414489, 4.290000
4.410000, -0.907078, 1.387005, 4.320000
4.440000, -0.918272, 1.359173, 4.350000
4.470000, -0.928626, 1.331017, 4.380000
4.500000, -0.938131, 1.302564, 4.410000
4.530000, -0.946778, 1.273838, 4.440000
4.560000, -0.954559, 1.244866, 4.470000
4.590000, -0.961468, 1.215673, 4.500000
4.620000, -0.967498, 1.186287, 4.530000
4.650000, -0.972644, 1.156732, 4.560000
4.680000, -0.976901, 1.127037, 4.590000
4.710000, -0.980266, 1.097227, 4.620000
4.740000, -0.982734, 1.067330, 4.650000
4.770000, -0.984305, 1.037372, 4.680000
4.800000, -0.984977, 1.007381, 4.710000
4.830000, -0.984925, 0.987381, 4.730000
4.860000, -0.984096, 0.957393, 4.760000
4.890000, -0.982369, 0.927444, 4.790000
4.920000, -0.979744, 0.897560, 4.820000
4.950000, -0.976224, 0.867768, 4.850000
4.980000, -0.971812, 0.838096, 4.880000
5.010000, -0.966512, 0.808569, 4.910000
5.040000, -0.960328, 0.779214, 4.940000
