Thread, Chamada, T(k), Jitter(k)
Simulacao, 152, 0.010203, 0.000203
Simulacao, 153, 0.010129, 0.000129
Simulacao, 154, 0.010173, 0.000173
Simulacao, 155, 0.010404, 0.000404
Simulacao, 156, 0.010400, 0.000400
Simulacao, 157, 0.010405, 0.000405
Simulacao, 158, 0.010194, 0.000194
Simulacao, 159, 0.010405, 0.000405
Simulacao, 160, 0.010409, 0.000409
Simulacao, 161, 0.010404, 0.000404
Simulacao, 162, 0.010142, 0.000142
Simulacao, 163, 0.010145, 0.000145
Simulacao, 164, 0.010405, 0.000405
Simulacao, 165, 0.010403, 0.000403
Simulacao, 166, 0.010147, 0.000147
Simulacao, 167, 0.010412, 0.000412
Simulacao, 168, 0.010194, 0.000194
Simulacao, 169, 0.010407, 0.000407
Simulacao, 170, 0.010185, 0.000185
Simulacao, 171, 0.010403, 0.000403
Simulacao, 172, 0.010407, 0.000407
Simulacao, 173, 0.010363, 0.000363
Simulacao, 174, 0.010403, 0.000403
Simulacao, 175, 0.010173, 0.000173
Simulacao, 176, 0.010162, 0.000162
Simulacao, 177, 0.010182, 0.000182
Simulacao, 178, 0.010169, 0.000169
Simulacao, 179, 0.010181, 0.000181
Simulacao, 180, 0.010189, 0.000189
Simulacao, 181, 0.010252, 0.000252
Simulacao, 182, 0.010397, 0.000397
Simulacao, 183, 0.010398, 0.000398
Simulacao, 184, 0.010128, 0.000128
Simulacao, 185, 0.010402, 0.000402
Simulacao, 186, 0.010375, 0.000375
Simulacao, 187, 0.010125, 0.000125
Simulacao, 188, 0.010401, 0.000401
Simulacao, 189, 0.010271, 0.000271
Simulacao, 190, 0.010194, 0.000194
Simulacao, 191, 0.010410, 0.000410
Simulacao, 192, 0.010183, 0.000183
Simulacao, 193, 0.010195, 0.000195
Simulacao, 194, 0.010407, 0.000407
Simulacao, 195, 0.010409, 0.000409
Simulacao, 196, 0.010193, 0.000193
Simulacao, 197, 0.010193, 0.000193
Simulacao, 198, 0.010401, 0.000401
Simulacao, 199, 0.010402, 0.000402
Simulacao, 200, 0.010408, 0.000408
Simulacao, 201, 0.010381, 0.000381
Simulacao, 202, 0.010199, 0.000199
Simulacao, 203, 0.010197, 0.000197
Simulacao, 204, 0.010139, 0.000139
Simulacao, 205, 0.010396, 0.000396
Simulacao, 206, 0.010403, 0.000403
Simulacao, 207, 0.010175, 0.000175
Simulacao, 208, 0.010134, 0.000134
Simulacao, 209, 0.010396, 0.000396
Simulacao, 210, 0.010405, 0.000405
Simulacao, 211, 0.010406, 0.000406
Simulacao, 212, 0.010183, 0.000183
Simulacao, 213, 0.010394, 0.000394
Simulacao, 214, 0.010145, 0.000145
Simulacao, 215, 0.010169, 0.000169
Simulacao, 216, 0.010180, 0.000180
Simulacao, 217, 0.010400, 0.000400
Simulacao, 218, 0.010398, 0.000398
Simulacao, 219, 0.010401, 0.000401
Simulacao, 220, 0.010304, 0.000304
Simulacao, 221, 0.010401, 0.000401
Simulacao, 222, 0.010405, 0.000405
Simulacao, 223, 0.010396, 0.000396
Simulacao, 224, 0.010145, 0.000145
Simulacao, 225, 0.010118, 0.000118
Simulacao, 226, 0.010102, 0.000102
Simulacao, 227, 0.010128, 0.000128
Simulacao, 228, 0.010163, 0.000163
Simulacao, 229, 0.010143, 0.000143
Simulacao, 230, 0.010149, 0.000149
Simulacao, 231, 0.010210, 0.000210
Simulacao, 232, 0.010190, 0.000190
Simulacao, 233, 0.010306, 0.000306
Simulacao, 234, 0.010135, 0.000135
Simulacao, 235, 0.010166, 0.000166
Simulacao, 236, 0.010168, 0.000168
Simulacao, 237, 0.010243, 0.000243
Simulacao, 238, 0.010175, 0.000175
Simulacao, 239, 0.010195, 0.000195
Simulacao, 240, 0.010095, 0.000095
Simulacao, 241, 0.010134, 0.000134
Simulacao, 242, 0.010415, 0.000415
Simulacao, 243, 0.010176, 0.000176
Simulacao, 244, 0.010298, 0.000298
Simulacao, 245, 0.010135, 0.000135
Simulacao, 246, 0.010180, 0.000180
Simulacao, 247, 0.010401, 0.000401
Simulacao, 248, 0.010347, 0.000347
Simulacao, 249, 0.010145, 0.000145
Simulacao, 250, 0.010403, 0.000403
Simulacao, 251, 0.010195, 0.000195
Simulacao, 252, 0.010186, 0.000186
Simulacao, 253, 0.010407, 0.000407
Simulacao, 254, 0.010196, 0.000196
Simulacao, 255, 0.010197, 0.000197
Simulacao, 256, 0.010198, 0.000198
Simulacao, 257, 0.010402, 0.000402
Simulacao, 258, 0.010193, 0.000193
Simulacao, 259, 0.010182, 0.000182
Simulacao, 260, 0.010386, 0.000386
Simulacao, 261, 0.010186, 0.000186
Simulacao, 262, 0.010406, 0.000406
Simulacao, 263, 0.010403, 0.000403
Simulacao, 264, 0.010190, 0.000190
Simulacao, 265, 0.010404, 0.000404
Simulacao, 266, 0.010401, 0.000401
Simulacao, 267, 0.010185, 0.000185
Simulacao, 268, 0.010403, 0.000403
Simulacao, 269, 0.010408, 0.000408
Simulacao, 270, 0.010186, 0.000186
Simulacao, 271, 0.010195, 0.000195
Simulacao, 272, 0.010404, 0.000404
Simulacao, 273, 0.010402, 0.000402
Simulacao, 274, 0.010405, 0.000405
Simulacao, 275, 0.010404, 0.000404
Simulacao, 276, 0.010139, 0.000139
Simulacao, 277, 0.010408, 0.000408
Simulacao, 278, 0.010408, 0.000408
Simulacao, 279, 0.010407, 0.000407
Simulacao, 280, 0.010186, 0.000186
Simulacao, 281, 0.010223, 0.000223
Simulacao, 282, 0.010402, 0.000402
Simulacao, 283, 0.010406, 0.000406
Simulacao, 284, 0.010406, 0.000406
Simulacao, 285, 0.010184, 0.000184
Simulacao, 286, 0.010395, 0.000395
Simulacao, 287, 0.010157, 0.000157
Simulacao, 288, 0.010426, 0.000426
Simulacao, 289, 0.010407, 0.000407
Simulacao, 290, 0.010210, 0.000210
Simulacao, 291, 0.010198, 0.000198
Simulacao, 292, 0.010409, 0.000409
Simulacao, 293, 0.010184, 0.000184
Simulacao, 294, 0.010154, 0.000154
Simulacao, 295, 0.010151, 0.000151
Simulacao, 296, 0.010195, 0.000195
Simulacao, 297, 0.010177, 0.000177
Simulacao, 298, 0.010405, 0.000405
Simulacao, 299, 0.010189, 0.000189
Simulacao, 300, 0.010130, 0.000130
Simulacao, 301, 0.010403, 0.000403
Simulacao, 302, 0.010402, 0.000402
Simulacao, 303, 0.010196, 0.000196
Simulacao, 304, 0.010405, 0.000405
Simulacao, 305, 0.010204, 0.000204
Simulacao, 306, 0.010395, 0.000395
Simulacao, 307, 0.010147, 0.000147
Simulacao, 308, 0.010199, 0.000199
Simulacao, 309, 0.010194, 0.000194
Simulacao, 310, 0.010404, 0.000404
Simulacao, 311, 0.010178, 0.000178
Simulacao, 312, 0.010400, 0.000400
Simulacao, 313, 0.010407, 0.000407
Simulacao, 314, 0.010135, 0.000135
Simulacao, 315, 0.010180, 0.000180
