Tempo, Posicao X, Posicao Y, Orientacao
3.600000, -0.340463, 1.934687, 3.510000
3.630000, -0.368339, 1.923604, 3.540000
3.660000, -0.395871, 1.911690, 3.570000
3.690000, -0.423033, 1.898955, 3.600000
3.720000, -0.449801, 1.885412, 3.630000
3.750000, -0.476150, 1.871071, 3.660000
3.780000, -0.502058, 1.855947, 3.690000
3.810000, -0.527500, 1.840053, 3.720000
3.840000, -0.552454, 1.823402, 3.750000
3.870000, -0.576897, 1.806010, 3.780000
3.900000, -0.600808, 1.787893, 3.810000
3.930000, -0.624164, 1.769068, 3.840000
3.960000, -0.646945, 1.749549, 3.870000
3.990000, -0.661803, 1.736161, 3.890000
4.020000, -0.683580, 1.715529, 3.920000
4.050000, -0.704729, 1.694253, 3.950000
4.080000, -0.725230, 1.672352, 3.980000
4.110000, -0.745064, 1.649846, 4.010000
4.140000, -0.764215, 1.626755, 4.040000
4.170000, -0.782665, 1.603100, 4.070000
4.200000, -0.800396, 1.578902, 4.100000
4.230000, -0.817394, 1.554184, 4.130000
4.260000, -0.833643, 1.528966, 4.160000
4.290000, -0.849128, 1.503273, 4.190000
4.320000, -0.863835, 1.477126, 4.220000
4.350000, -0.877751, 1.450550, 4.250000
4.380000, -0.890864, 1.423569, 4.280000
4.410000, -0.903162, 1.396207, 4.310000
4.440000, -0.914634, 1.368488, 4.340000
4.470000, -0.925269, 1.340437, 4.370000
4.500000, -0.935057, 1.312080, 4.400000
4.530000, -0.941109, 1.293018, 4.420000
4.560000, -0.949468, 1.264207, 4.450000
4.590000, -0.956959, 1.235158, 4.480000
4.620000, -0.963576, 1.205898, 4.510000
4.650000, -0.969312, 1.176453, 4.540000
4.680000, -0.974162, 1.146848, 4.570000
4.710000, -0.978122, 1.117112, 4.600000
4.740000, -0.981188, 1.087270, 4.630000
4.770000, -0.983358, 1.057349, 4.660000
4.800000, -0.984629, 1.027377, 4.690000
4.830000, -0.985001, 0.997381, 4.720000
