Tempo, Posicao X, Posicao Y, Orientacao
3.600000, -0.349792, 1.931085, 3.520000
3.630000, -0.377556, 1.919724, 3.550000
3.660000, -0.404967, 1.907536, 3.580000
3.690000, -0.432001, 1.894530, 3.610000
3.720000, -0.458632, 1.880719, 3.640000
3.750000, -0.484836, 1.866116, 3.670000
3.780000, -0.502058, 1.855947, 3.690000
3.810000, -0.527500, 1.840053, 3.720000
3.840000, -0.552454, 1.823402, 3.750000
3.870000, -0.576897, 1.806010, 3.780000
3.900000, -0.600808, 1.787893, 3.810000
3.930000, -0.624164, 1.769068, 3.840000
3.960000, -0.646945, 1.749549, 3.870000
3.990000, -0.669131, 1.729357, 3.900000
4.020000, -0.690701, 1.708508, 3.930000
4.050000, -0.711635, 1.687021, 3.960000
4.080000, -0.731916, 1.664916, 3.990000
4.110000, -0.751525, 1.642213, 4.020000
4.140000, -0.770444, 1.618932, 4.050000
4.170000, -0.788656, 1.595093, 4.080000
4.200000, -0.806144, 1.570719, 4.110000
4.230000, -0.822894, 1.545832, 4.140000
4.260000, -0.833643, 1.528966, 4.160000
4.290000, -0.849128, 1.503273, 4.190000
4.320000, -0.863835, 1.477126, 4.220000
4.350000, -0.877751, 1.450550, 4.250000
4.380000, -0.890864, 1.423569, 4.280000
4.410000, -0.903162, 1.396207, 4.310000
4.440000, -0.914634, 1.368488, 4.340000
4.470000, -0.925269, 1.340437, 4.370000
4.500000, -0.935057, 1.312080, 4.400000
4.530000, -0.943991, 1.283442, 4.430000
4.560000, -0.952062, 1.254549, 4.460000
4.590000, -0.959262, 1.225427, 4.490000
4.620000, -0.965586, 1.196102, 4.520000
4.650000, -0.971027, 1.166601, 4.550000
4.680000, -0.975581, 1.136949, 4.580000
4.710000, -0.978122, 1.117112, 4.600000
4.740000, -0.981188, 1.087270, 4.630000
4.770000, -0.983358, 1.057349, 4.660000
4.800000, -0.984629, 1.027377, 4.690000
4.830000, -0.985001, 0.997381, 4.720000
4.860000, -0.984472, 0.967386, 4.750000
4.890000, -0.983045, 0.937421, 4.780000
4.920000, -0.980719, 0.907513, 4.810000
4.950000, -0.977497, 0.877687, 4.840000
4.980000, -0.973382, 0.847972, 4.870000
5.010000, -0.968377, 0.818393, 4.900000
5.040000, -0.962487, 0.788978, 4.930000
5.070000, -0.955718, 0.759753, 4.960000
5.100000, -0.948075, 0.730744, 4.990000
5.130000, -0.939566, 0.701977, 5.020000
5.160000, -0.930197, 0.673478, 5.050000
5.190000, -0.919978, 0.645274, 5.080000
5.220000, -0.908917, 0.617388, 5.110000
5.250000, -0.901081, 0.598987, 5.130000
5.280000, -0.888640, 0.571690, 5.160000
5.310000, -0.875386, 0.544777, 5.190000
5.340000, -0.861331, 0.518274, 5.220000
5.370000, -0.846488, 0.492205, 5.250000
5.400000, -0.830869, 0.466593, 5.280000
5.430000, -0.814489, 0.441461, 5.310000
5.460000, -0.797362, 0.416831, 5.340000
5.490000, -0.779504, 0.392726, 5.370000
5.520000, -0.760932, 0.369168, 5.400000
5.550000, -0.741660, 0.346177, 5.430000
5.580000, -0.721709, 0.323775, 5.460000
5.610000, -0.701094, 0.301981, 5.490000
5.640000, -0.679834, 0.280816, 5.520000
5.670000, -0.657950, 0.260298, 5.550000
5.700000, -0.635459, 0.240445, 5.580000
5.730000, -0.612384, 0.221276, 5.610000
5.760000, -0.588743, 0.202808, 5.640000
5.790000, -0.564560, 0.185057, 5.670000
5.820000, -0.548146, 0.173629, 5.690000
5.850000, -0.523106, 0.157109, 5.720000
5.880000, -0.497581, 0.141348, 5.750000
5.910000, -0.471595, 0.126359, 5.780000
5.940000, -0.445171, 0.112157, 5.810000
5.970000, -0.418333, 0.098753, 5.840000
6.000000, -0.391104, 0.086160, 5.870000
6.030000, -0.363511, 0.074390, 5.900000
6.060000, -0.335577, 0.063453, 5.930000
6.090000, -0.307327, 0.053359, 5.960000
6.120000, -0.278787, 0.044116, 5.990000
6.150000, -0.249983, 0.035734, 6.020000
6.180000, -0.220941, 0.028220, 6.050000
6.210000, -0.191686, 0.021580, 6.080000
6.240000, -0.162245, 0.015821, 6.110000
6.270000, -0.132644, 0.010947, 6.140000
6.300000, -0.112835, 0.008192, 6.160000
6.330000, -0.083028, 0.004804, 6.190000
6.360000, -0.053133, 0.002311, 6.220000
6.390000, -0.023176, 0.000716, 6.250000
6.420000, 0.006815, 0.000021, 6.280000
6.450000, 0.036813, 0.000225, 6.310000
6.480000, 0.066792, 0.001330, 6.340000
6.510000, 0.096724, 0.003332, 6.370000
6.540000, 0.126582, 0.006232, 6.400000
6.570000, 0.156340, 0.010026, 6.430000
6.600000, 0.185971, 0.014711, 6.460000
6.630000, 0.215448, 0.020283, 6.490000
6.660000, 0.244745, 0.026737, 6.520000
6.690000, 0.273835, 0.034066, 6.550000
6.720000, 0.302692, 0.042264, 6.580000
6.750000, 0.331290, 0.051325, 6.610000
6.780000, 0.359603, 0.061239, 6.640000
6.810000, 0.387607, 0.071998, 6.670000
6.840000, 0.406091, 0.079635, 6.690000
6.870000, 0.433521, 0.091780, 6.720000
6.900000, 0.460575, 0.104743, 6.750000
6.930000, 0.487228, 0.118511, 6.780000
6.960000, 0.513456, 0.133072, 6.810000
6.990000, 0.539236, 0.148414, 6.840000
7.020000, 0.564543, 0.164521, 6.870000
7.050000, 0.589356, 0.181381, 6.900000
7.080000, 0.613653, 0.198978, 6.930000
7.110000, 0.637410, 0.217295, 6.960000
7.140000, 0.660607, 0.236317, 6.990000
7.170000, 0.683224, 0.256026, 7.020000
7.200000, 0.705239, 0.276404, 7.050000
7.230000, 0.726632, 0.297434, 7.080000
7.260000, 0.747386, 0.319096, 7.110000
7.290000, 0.767480, 0.341370, 7.140000
7.320000, 0.786897, 0.364238, 7.170000
7.350000, 0.805619, 0.387677, 7.200000
7.380000, 0.817707, 0.403611, 7.220000
7.410000, 0.835234, 0.427957, 7.250000
7.440000, 0.852024, 0.452818, 7.280000
7.470000, 0.868060, 0.478171, 7.310000
7.500000, 0.883328, 0.503993, 7.340000
7.530000, 0.897815, 0.530263, 7.370000
7.560000, 0.911508, 0.556954, 7.400000
7.590000, 0.924394, 0.584045, 7.430000
7.620000, 0.936461, 0.611510, 7.460000
7.650000, 0.947699, 0.639324, 7.490000
7.680000, 0.958098, 0.667463, 7.520000
7.710000, 0.967648, 0.695902, 7.550000
7.740000, 0.976340, 0.724614, 7.580000
7.770000, 0.984168, 0.753574, 7.610000
7.800000, 0.991123, 0.782755, 7.640000
7.830000, 0.997200, 0.812132, 7.670000
7.860000, 1.002393, 0.841678, 7.700000
7.890000, 1.006698, 0.871367, 7.730000
7.920000, 1.010109, 0.901171, 7.760000
7.950000, 1.011887, 0.921092, 7.780000
7.980000, 1.013805, 0.951029, 7.810000
8.010000, 1.014824, 0.981011, 7.840000
8.040000, 1.014943, 1.011010, 7.870000
8.070000, 1.014163, 1.040999, 7.900000
8.100000, 1.012483, 1.070951, 7.930000
8.130000, 1.009906, 1.100839, 7.960000
8.160000, 1.006433, 1.130636, 7.990000
8.190000, 1.002069, 1.160316, 8.020000
8.220000, 0.996815, 1.189851, 8.050000
8.250000, 0.990679, 1.219216, 8.080000
8.280000, 0.983664, 1.248383, 8.110000
8.310000, 0.975778, 1.277327, 8.140000
8.340000, 0.967026, 1.306021, 8.170000
8.370000, 0.957418, 1.334440, 8.200000
8.400000, 0.946962, 1.362558, 8.230000
8.430000, 0.939525, 1.381123, 8.250000
8.460000, 0.927677, 1.408683, 8.280000
8.490000, 0.915007, 1.435876, 8.310000
8.520000, 0.901528, 1.462676, 8.340000
8.550000, 0.887251, 1.489059, 8.370000
8.580000, 0.872188, 1.515003, 8.400000
8.610000, 0.856355, 1.540483, 8.430000
8.640000, 0.839764, 1.565477, 8.460000
8.670000, 0.822430, 1.589961, 8.490000
8.700000, 0.804371, 1.613915, 8.520000
8.730000, 0.785601, 1.637317, 8.550000
8.760000, 0.766137, 1.660144, 8.580000
8.790000, 0.745997, 1.682378, 8.610000
8.820000, 0.725200, 1.703998, 8.640000
8.850000, 0.703763, 1.724984, 8.670000
8.880000, 0.681707, 1.745317, 8.700000
8.910000, 0.659051, 1.764980, 8.730000
8.940000, 0.643623, 1.777707, 8.750000
8.970000, 0.620012, 1.796213, 8.780000
9.000000, 0.595857, 1.814003, 8.810000
9.030000, 0.571179, 1.831059, 8.840000
9.060000, 0.546000, 1.847368, 8.870000
9.090000, 0.520344, 1.862915, 8.900000
9.120000, 0.494233, 1.877684, 8.930000
9.150000, 0.467690, 1.891664, 8.960000
9.180000, 0.440740, 1.904842, 8.990000
9.210000, 0.413407, 1.917205, 9.020000
9.240000, 0.385716, 1.928743, 9.050000
9.270000, 0.357691, 1.939444, 9.080000
9.300000, 0.329357, 1.949301, 9.110000
9.330000, 0.300741, 1.958303, 9.140000
9.360000, 0.271867, 1.966443, 9.170000
9.390000, 0.242762, 1.973713, 9.200000
9.420000, 0.213453, 1.980106, 9.230000
9.450000, 0.193812, 1.983879, 9.250000
9.480000, 0.164219, 1.988800, 9.280000
9.510000, 0.134492, 1.992831, 9.310000
9.540000, 0.104658, 1.995968, 9.340000
9.570000, 0.074743, 1.998210, 9.370000
9.600000, 0.044774, 1.999553, 9.400000
9.630000, 0.014778, 1.999996, 9.430000
9.660000, -0.015218, 1.999539, 9.460000
9.690000, -0.045186, 1.998183, 9.490000
9.720000, -0.075100, 1.995929, 9.520000
9.750000, -0.104933, 1.992778, 9.550000
9.780000, -0.134658, 1.988734, 9.580000
9.810000, -0.164249, 1.983800, 9.610000
9.840000, -0.193678, 1.977980, 9.640000
9.870000, -0.222919, 1.971281, 9.670000
9.900000, -0.251947, 1.963707, 9.700000
9.930000, -0.280734, 1.955266, 9.730000
9.960000, -0.299779, 1.949161, 9.750000
9.990000, -0.328108, 1.939292, 9.780000
10.020000, -0.356128, 1.928578, 9.810000
10.050000, -0.384000, 1.917480, 9.791150
10.080000, -0.412075, 1.906909, 9.772301
10.110000, -0.440345, 1.896870, 9.753451
10.140000, -0.468799, 1.887365, 9.734602
10.170000, -0.497427, 1.878398, 9.715752
10.200000, -0.526219, 1.869972, 9.696903
10.230000, -0.555165, 1.862091, 9.678053
10.260000, -0.584254, 1.854756, 9.659204
10.290000, -0.613476, 1.847971, 9.640354
10.320000, -0.642821, 1.841738, 9.621504
10.350000, -0.672279, 1.836059, 9.602655
10.380000, -0.701838, 1.830937, 9.583805
10.410000, -0.731488, 1.826372, 9.564956
10.440000, -0.761219, 1.822368, 9.546106
10.470000, -0.781080, 1.820009, 9.533540
10.500000, -0.810922, 1.816941, 9.514690
10.530000, -0.840816, 1.814435, 9.495841
10.560000, -0.870753, 1.812493, 9.476991
10.590000, -0.900721, 1.811115, 9.458142
10.620000, -0.930710, 1.810303, 9.439292
10.650000, -0.960708, 1.810056, 9.420443
10.680000, -0.990706, 1.810375, 9.401593
10.710000, -1.020693, 1.811258, 9.382743
10.740000, -1.050657, 1.812707, 9.363894
10.770000, -1.080589, 1.814721, 9.345044
10.800000, -1.110478, 1.817298, 9.326195
10.830000, -1.140313, 1.820438, 9.307345
10.860000, -1.170083, 1.824140, 9.288496
10.890000, -1.199778, 1.828403, 9.269646
10.920000, -1.229388, 1.833224, 9.250797
10.950000, -1.258902, 1.838603, 9.231947
10.980000, -1.288308, 1.844537, 9.213097
11.010000, -1.307849, 1.848800, 9.200531
11.040000, -1.337055, 1.855655, 9.181681
11.070000, -1.366126, 1.863059, 9.162832
11.100000, -1.395053, 1.871009, 9.143982
11.130000, -1.423825, 1.879504, 9.125133
11.160000, -1.452432, 1.888539, 9.106283
11.190000, -1.480863, 1.898112, 9.087434
11.220000, -1.509109, 1.908219, 9.068584
11.250000, -1.537159, 1.918857, 9.049735
11.280000, -1.565004, 1.930021, 9.030885
11.310000, -1.592633, 1.941708, 9.012035
11.340000, -1.620037, 1.953914, 8.993186
11.370000, -1.647207, 1.966635, 8.974336
11.400000, -1.674131, 1.979865, 8.955487
11.430000, -1.700802, 1.993600, 8.936637
11.460000, -1.727209, 2.007836, 8.917788
11.490000, -1.744662, 2.017601, 8.905221
11.520000, -1.770609, 2.032659, 8.886372
11.550000, -1.796267, 2.048204, 8.867522
11.580000, -1.821628, 2.064229, 8.848673
11.610000, -1.846682, 2.080729, 8.829823
11.640000, -1.871421, 2.097699, 8.810974
11.670000, -1.895836, 2.115132, 8.792124
11.700000, -1.919917, 2.133022, 8.773274
11.730000, -1.943657, 2.151363, 8.754425
11.760000, -1.967047, 2.170148, 8.735575
11.790000, -1.990079, 2.189370, 8.716726
11.820000, -2.012745, 2.209023, 8.697876
11.850000, -2.035036, 2.229100, 8.679027
11.880000, -2.056945, 2.249594, 8.660177
11.910000, -2.078463, 2.270497, 8.641328
11.940000, -2.099584, 2.291801, 8.622478
11.970000, -2.120300, 2.313500, 8.603628
12.000000, -2.133881, 2.328182, 8.591062
12.030000, -2.153905, 2.350521, 8.572212
12.060000, -2.173504, 2.373233, 8.553363
12.090000, -2.192671, 2.396311, 8.534513
12.120000, -2.211400, 2.419746, 8.515664
12.150000, -2.229684, 2.443530, 8.496814
12.180000, -2.247517, 2.467654, 8.477965
12.210000, -2.264891, 2.492110, 8.459115
12.240000, -2.281802, 2.516889, 8.440266
